YEAR,STREET NAME,UNIT #,PROPERTY TYPE,BEDROOM,BATHROOM,MONTHLY RENT ($),SECURITY ($),LEASOR,MAX # of TENANTS,FURNISHED (Y/P/N),WATER (Y/N),TRASH (Y/N)
2021,SABADO TARDE,"A, B",APT,2.0,1,2960.0,2960.0,SFMVDM,4.0,N,N,Y
2021,SEGOVIA,"103, 104, 201-210",0,0.0,1,1100.0,1100.0,SFMVDM,1.0,N,Y,Y
2021,SEGOVIA,102,0,0.0,1,1160.0,1160.0,SFMVDM,1.0,N,Y,Y
2021,SEGOVIA,207,0,0.0,1,1160.0,1160.0,SFMVDM,1.0,N,Y,Y
2021,SEGOVIA,211,0,0.0,1,1160.0,1160.0,SFMVDM,1.0,N,N,Y
2021,SEGOVIA,101,APT,1.0,1,1700.0,1700.0,SFMVDM,2.0,N,Y,Y
2021,SEVILLE,"3, 4",APT,2.0,2,2960.0,2960.0,SFMVDM,4.0,N,N,Y
2021,SEVILLE,5,APT,2.0,2,2960.0,2960.0,SFMVDM,4.0,N,N,Y
2021,SEVILLE,"1, 2",APT,3.0,2,4400.0,4400.0,SFMVDM,6.0,N,N,Y
2021,TRIGO,1-6,APT,1.0,1,1425.0,1425.0,SFMVDM,2.0,N,N,Y
2021,TRIGO,"1, 2",APT,2.0,2,2900.0,2900.0,SFMVDM,4.0,N,N,Y
2021,TRIGO,"3, 4",APT,2.0,2,2960.0,2960.0,SFMVDM,4.0,N,N,Y
2021,TRIGO,5-8,0,0.0,1,1700.0,1700.0,SFMVDM,2.0,N,N,Y
2021,TRIGO,"8, 9",0,0.0,1,1250.0,1250.0,SFMVDM,1.0,N,N,Y
2021,TRIGO,4/5,APT,1.0,1,2100.0,2100.0,SFMVDM,3.0,N,N,Y
2021,TRIGO,6/7,APT,2.0,1,2200.0,2200.0,SFMVDM,3.0,N,N,Y
2021,TRIGO,"A, B",APT,2.0,2,3100.0,3100.0,SFMVDM,4.0,N,N,Y
2021,TRIGO,A,APT,2.0,2,3100.0,3100.0,SFMVDM,4.0,N,N,Y
2021,TRIGO,B,APT,2.0,2,3200.0,3200.0,SFMVDM,4.0,N,N,Y
2021,TRIGO,--,HOUSE,3.0,2,4400.0,4400.0,SFMVDM,6.0,N,,
2023,CAMINO DEL SUR,,APT,3.0,2,900.0,,,6.0,Y,Y,Y
2023,CAMINO DEL SUR,,APT,3.0,2,1245.0,,,6.0,Y,Y,Y
2023,CAMINO DEL SUR,,APT,1.0,1,3000.0,,,1.0,Y,Y,Y
2023,EL COLEGIO,23,APT,2.0,2,3950.0,3950.0,WOLFE AND ASSOCIATES,,N,,
2023,SABADO TARDE,A,APT,2.0,1,2740.0,2740.0,SFMVDM,4.0,N,Y,Y
2023,DEL PLAYA,C,APT,2.0,1.5,6100.0,12200.0,PLAYA LIFE,,N,N,Y
2023,DEL PLAYA,3,APT,3.0,2,8500.0,17000.0,PLAYA LIFE,7.0,N,Y,Y
